"qoptimal_SMLE" "qoptimal_SMLE_C" "qoptimal_MDPDE" "qoptimal_MDPDE_C"
1 1 1 1
1 0.94 1 0.94
1 0.9 1 0.9
1 0.9 1 0.9
1 0.92 1 0.9
1 1 1 1
1 0.92 1 0.9
1 0.9 1 1
1 0.92 1 0.92
1 0.7 1 0.88
1 0.92 1 0.92
1 0.92 1 1
1 1 1 1
1 0.92 1 0.92
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.9
1 0.92 1 0.92
1 1 1 1
1 0.92 1 0.9
1 0.92 1 0.9
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.94 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 0.9 1 0.88
1 1 1 0.88
1 1 1 0.9
1 0.94 1 0.94
1 0.92 1 0.94
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.9
1 0.9 1 0.88
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 1 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 0.94 1 0.94
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 1
1 1 1 1
1 0.9 1 0.88
1 0.92 1 0.92
1 0.94 1 0.94
1 1 1 0.62
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.94
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.94
1 0.94 1 0.94
1 0.92 1 0.9
1 1 1 1
1 0.94 1 0.92
1 0.92 1 0.92
1 0.9 1 0.9
1 0.9 1 0.9
1 1 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.94 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 0.9
1 0.9 1 0.9
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 0.94 1 0.92
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 1 1 1
1 0.96 1 0.96
1 0.94 1 0.94
1 0.94 1 0.94
1 0.94 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 1 1 1
1 0.92 1 0.92
1 0.92 1 0.88
1 0.94 1 0.94
1 0.9 1 0.9
1 0.92 1 0.92
1 0.88 1 0.86
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 1 1 1
1 0.94 1 0.94
1 0.92 1 0.92
1 0.94 1 0.94
1 0.94 1 0.94
1 0.9 1 0.88
1 0.9 1 0.9
1 0.92 1 0.92
1 1 1 0.92
1 0.92 1 1
1 1 1 0.92
1 1 1 0.76
1 0.92 1 0.92
1 0.9 1 0.9
1 0.94 1 0.94
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.9
1 0.94 1 0.94
1 0.94 1 0.92
1 0.9 1 0.9
1 0.9 1 0.88
1 0.92 1 0.92
1 1 1 1
1 0.92 1 0.9
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.94
1 1 1 0.88
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.92
1 0.92 1 0.92
1 0.94 1 1
1 1 1 1
1 0.92 1 0.92
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.88 1 0.88
1 0.9 1 0.88
1 0.9 1 0.9
1 1 1 0.9
1 1 1 1
1 1 1 1
1 0.92 1 0.92
1 0.94 1 0.94
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 1
1 0.92 1 0.92
1 0.92 1 0.9
1 1 1 0.9
1 0.92 1 0.9
1 0.88 1 0.88
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 0.88
1 0.9 1 0.9
1 0.94 1 0.94
1 0.94 1 0.92
1 0.9 1 0.9
1 0.92 1 1
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.9 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.9 1 1
1 0.92 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 1
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.9
1 0.9 1 0.88
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 1 1 0.88
1 1 1 1
1 0.92 1 0.92
1 0.92 1 0.92
1 0.9 1 1
1 0.9 1 0.92
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.88
1 0.9 1 0.9
1 0.94 1 0.94
1 1 1 0.88
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 0.88
1 0.92 1 0.92
1 0.9 1 0.9
1 0.9 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.94
1 0.94 1 0.94
1 1 1 1
1 0.92 1 0.9
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.7 1 0.74
1 0.92 1 0.88
1 0.9 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 1
1 1 1 1
1 0.9 1 0.9
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 0.88
1 0.9 1 0.9
1 0.92 1 0.92
1 0.94 1 0.94
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.9
1 0.92 1 0.92
1 0.92 1 0.9
1 0.9 1 0.9
1 0.94 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.88 1 0.88
1 0.92 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 0.94 1 0.94
1 0.9 1 0.9
1 1 1 1
1 0.88 1 0.88
1 0.9 1 0.9
1 0.94 1 0.94
1 0.92 1 0.9
1 0.94 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 0.88
1 0.9 1 0.88
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.86 1 0.86
1 0.9 1 0.9
1 0.9 1 0.9
1 0.94 1 0.92
1 0.92 1 0.9
1 0.92 1 1
1 0.9 1 0.9
1 0.92 1 0.9
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.9
1 0.94 1 0.94
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 1
1 1 1 1
1 0.88 1 0.88
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.9
1 1 1 0.94
1 0.92 1 0.9
1 0.9 1 0.9
1 0.9 1 0.9
1 1 1 1
1 0.94 1 0.94
1 0.9 1 0.9
1 0.92 1 0.92
1 1 1 0.88
1 1 1 1
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 0.88 1 0.88
1 0.94 1 0.94
1 0.94 1 0.94
1 0.94 1 0.94
1 1 1 1
1 0.94 1 0.94
1 0.92 1 0.92
1 1 1 0.68
1 0.92 1 0.9
1 1 1 0.88
1 0.9 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.9
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.9
1 1 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 0.9 1 0.88
1 0.92 1 0.92
1 0.9 1 0.92
1 1 1 0.68
1 0.9 1 0.88
1 0.92 1 0.9
1 0.92 1 0.9
1 0.92 1 0.9
1 0.92 1 0.9
1 1 1 1
1 0.92 1 0.92
1 0.9 1 0.9
1 0.9 1 0.9
1 1 1 0.88
1 1 1 0.88
1 0.92 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.9
1 0.94 1 0.94
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.9
1 0.9 1 0.9
1 0.9 1 1
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 1 1 0.88
1 0.92 1 0.9
1 0.88 1 0.86
1 0.9 1 0.88
1 0.94 1 0.94
1 0.92 1 0.9
1 0.92 1 0.9
1 0.94 1 0.94
1 0.9 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 1
1 0.9 1 0.9
1 0.94 1 0.94
1 0.9 1 0.9
1 0.9 1 0.9
1 0.9 1 0.9
1 0.94 1 1
1 0.9 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.9 1 0.88
1 1 1 1
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 1 1 1
1 0.92 1 0.92
1 0.94 1 0.92
1 0.92 1 0.9
1 1 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 1 1 1
1 0.94 1 0.94
1 0.9 1 0.88
1 0.94 1 0.94
1 0.9 1 0.9
1 0.9 1 0.9
1 0.94 1 0.92
1 0.9 1 0.9
1 1 1 1
1 0.9 1 0.88
1 0.9 1 0.88
1 0.92 1 0.92
1 1 1 1
1 0.94 1 0.94
1 0.92 1 0.9
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.9
1 1 1 1
1 0.94 1 0.94
1 0.94 1 0.94
1 0.94 1 0.94
1 0.92 1 0.92
1 0.9 1 0.88
1 0.9 1 0.9
1 0.94 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 1 1 1
1 1 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.68 1 0.66
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.9
1 1 1 0.6
1 0.92 1 0.92
1 0.92 1 1
1 0.92 1 0.92
1 0.92 1 0.92
1 0.88 1 0.88
1 0.94 1 0.94
1 1 1 1
1 1 1 1
1 1 1 0.88
1 0.88 1 0.86
1 0.9 1 0.9
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.9
1 0.94 1 0.94
1 0.94 1 0.92
1 0.92 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.9
1 0.92 1 0.92
1 1 1 1
1 0.92 1 0.92
1 0.88 1 0.88
1 0.92 1 0.9
1 0.94 1 0.9
1 0.9 1 0.9
1 0.92 1 0.92
1 1 1 0.86
1 1 1 1
1 0.94 1 0.92
1 0.92 1 0.9
1 0.9 1 0.9
1 0.92 1 0.92
1 0.9 1 0.9
1 0.9 1 0.9
1 1 1 1
1 0.92 1 0.92
1 1 1 0.9
1 0.9 1 0.9
1 1 1 1
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 1 1 0.88
1 0.92 1 0.92
1 0.88 1 0.88
1 0.94 1 1
1 0.92 1 0.92
1 0.9 1 0.9
1 0.9 1 0.9
1 0.76 1 0.58
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.94
1 1 1 1
1 0.94 1 0.94
1 0.9 1 0.9
1 1 1 0.66
1 1 1 0.88
1 1 1 1
1 0.9 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 1
1 1 1 0.88
1 0.9 1 0.9
1 0.94 1 0.94
1 0.9 1 0.9
1 0.92 1 0.9
1 0.92 1 0.92
1 0.94 1 0.94
1 0.9 1 0.9
1 1 1 0.9
1 0.94 1 0.94
1 0.92 1 0.9
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 0.66
1 1 1 0.88
1 1 1 1
1 1 1 0.88
1 0.9 1 0.9
1 1 1 1
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 0.94 1 0.92
1 0.94 1 0.92
1 0.88 1 0.88
1 0.92 1 0.92
1 0.94 1 0.94
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.9
1 0.94 1 0.92
1 0.9 1 0.9
1 0.94 1 0.92
1 0.92 1 0.9
1 0.9 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 0.9 1 0.9
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.9
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.9
1 0.94 1 0.94
1 1 1 0.88
1 0.9 1 1
1 0.92 1 0.9
1 1 1 1
1 0.9 1 0.9
1 0.92 1 0.94
1 0.94 1 0.94
1 0.94 1 0.94
1 0.92 1 0.9
1 0.92 1 0.9
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.94 1 0.94
1 1 1 1
1 0.9 1 0.9
1 0.92 1 0.92
1 0.88 1 0.9
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.9
1 0.9 1 0.9
1 0.94 1 0.94
1 0.9 1 0.9
1 0.92 1 0.92
1 1 1 0.88
1 0.94 1 0.92
1 0.9 1 0.9
1 0.94 1 0.92
1 0.9 1 0.9
1 0.9 1 0.9
1 0.94 1 0.94
1 0.92 1 0.9
1 0.92 1 1
1 0.92 1 0.92
1 0.94 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 0.9 1 0.88
1 1 1 1
1 0.92 1 0.92
1 0.92 1 0.9
1 0.9 1 0.88
1 0.92 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.9
1 0.94 1 0.94
1 0.94 1 0.92
1 0.92 1 0.92
1 1 1 0.86
1 0.94 1 0.94
1 0.92 1 0.92
1 0.94 1 0.94
1 0.9 1 0.9
1 0.9 1 0.9
1 0.92 1 0.9
1 0.9 1 1
1 0.94 1 0.92
1 0.92 1 0.9
1 0.94 1 0.92
1 0.94 1 0.94
1 0.92 1 0.92
1 0.9 1 0.9
1 0.94 1 0.94
1 0.9 1 0.9
1 0.92 1 0.92
1 0.94 1 0.94
1 0.92 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 0.88
1 0.94 1 0.94
1 0.92 1 0.92
1 0.92 1 0.9
1 0.9 1 0.88
1 0.92 1 0.9
1 0.7 1 0.9
1 0.9 1 0.9
1 0.92 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 1
1 0.9 1 0.9
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.9
1 0.9 1 0.9
1 0.92 1 0.9
1 0.9 1 0.9
1 0.9 1 0.9
1 0.92 1 0.92
1 0.9 1 0.9
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 1
1 1 1 1
1 0.9 1 0.9
1 0.9 1 0.88
1 0.92 1 0.92
1 0.92 1 0.92
1 1 1 0.88
1 0.92 1 0.92
1 0.92 1 0.92
1 0.92 1 0.92
1 0.9 1 0.9
1 1 1 1
1 1 1 1
1 0.9 1 0.9
1 0.94 1 0.92
1 0.92 1 0.92
1 0.94 1 0.94
1 1 1 0.9
1 0.92 1 0.9
1 0.92 1 0.9
